Timestamp,Length,Protocol
1734275115.083496,7306,DATA
1734275115.083506,66,TCP
1734275115.085613,7306,DATA
1734275115.085624,66,TCP
1734275115.0858,66,TCP
1734275115.085801,66,TCP
1734275115.08888,5858,DATA
1734275115.088885,66,TCP
1734275115.088886,66,TCP
1734275115.088887,66,TCP
1734275115.089826,7306,DATA
1734275115.091582,7306,DATA
1734275115.091538,66,TCP
1734275115.091539,66,TCP
1734275115.093778,1514,DATA
1734275115.09378,7306,DATA
1734275115.093717,66,TCP
1734275115.093718,66,TCP
1734275115.094439,66,TCP
1734275115.096205,7306,DATA
1734275115.096202,66,TCP
1734275115.099184,7306,DATA
1734275115.09918,66,TCP
1734275115.101096,7306,DATA
1734275115.101172,66,TCP
1734275115.101172,66,TCP
1734275115.103177,7306,DATA
1734275115.104063,66,TCP
1734275115.104064,66,TCP
1734275115.105163,7306,DATA
1734275115.10523,66,TCP
1734275115.106484,7306,DATA
1734275115.106909,66,TCP
1734275115.10828,7306,DATA
1734275115.110329,7306,DATA
1734275115.110211,66,TCP
1734275115.110212,66,TCP
1734275115.110213,66,TCP
1734275115.112189,7306,DATA
1734275115.112192,66,TCP
1734275115.114179,7306,DATA
1734275115.11433,66,TCP
1734275115.114331,66,TCP
1734275115.116391,7306,DATA
1734275115.11646,66,TCP
1734275115.118232,7306,DATA
1734275115.120833,7306,DATA
1734275115.120775,66,TCP
1734275115.120776,66,TCP
1734275115.122644,8754,DATA
1734275115.12264,66,TCP
1734275115.124234,8754,DATA
1734275115.125909,66,TCP
1734275115.126842,8754,DATA
1734275115.131094,2962,DATA
1734275115.130961,66,TCP
1734275115.13097,66,TCP
1734275115.130971,66,TCP
1734275115.134817,8754,DATA
1734275115.134931,66,TCP
1734275115.134932,66,TCP
1734275115.136669,8754,DATA
1734275115.136647,66,TCP
1734275115.13783,66,TCP
1734275115.138274,8754,DATA
1734275115.13941,66,TCP
1734275115.140304,8754,DATA
1734275115.141538,66,TCP
1734275115.143511,8754,DATA
1734275115.145645,8754,DATA
1734275115.146419,66,TCP
1734275115.14642,66,TCP
1734275115.146421,66,TCP
1734275115.147445,8754,DATA
1734275115.149533,4410,DATA
1734275115.15026,8754,DATA
1734275115.150251,66,TCP
1734275115.150253,66,TCP
1734275115.152169,8754,DATA
1734275115.152111,66,TCP
1734275115.152974,66,TCP
1734275115.153947,4410,DATA
1734275115.154892,4410,DATA
1734275115.154889,66,TCP
1734275115.156332,4410,DATA
1734275115.156802,66,TCP
1734275115.157138,4410,DATA
1734275115.158376,4410,DATA
1734275115.162131,4410,DATA
1734275115.162208,66,TCP
1734275115.163741,4410,DATA
1734275115.164726,4410,DATA
1734275115.165416,4410,DATA
1734275115.16541,66,TCP
1734275115.167182,4410,DATA
1734275115.167646,4410,DATA
1734275115.167623,66,TCP
1734275115.168597,4410,DATA
1734275115.170373,4410,DATA
1734275115.17033,66,TCP
1734275115.171598,4410,DATA
1734275115.171654,66,TCP
1734275115.173344,4410,DATA
1734275115.174676,4410,DATA
1734275115.174673,66,TCP
1734275115.175309,4410,DATA
1734275115.17633,4410,DATA
1734275115.177931,5858,DATA
1734275115.177941,66,TCP
1734275115.177942,66,TCP
1734275115.179112,5858,DATA
1734275115.180049,66,TCP
1734275115.18027,5858,DATA
1734275115.18139,5858,DATA
1734275115.182844,5858,DATA
1734275115.182888,66,TCP
1734275115.183916,5858,DATA
1734275115.185194,5858,DATA
1734275115.185507,66,TCP
1734275115.185508,66,TCP
1734275115.186825,5858,DATA
1734275115.186956,66,TCP
1734275115.187735,4410,DATA
1734275115.188953,5858,DATA
1734275115.18896,66,TCP
1734275115.190068,5858,DATA
1734275115.191146,5858,DATA
1734275115.193347,5858,DATA
1734275115.193407,66,TCP
1734275115.194304,66,TCP
1734275115.194646,5858,DATA
1734275115.195797,5858,DATA
1734275115.196205,66,TCP
1734275115.197125,5858,DATA
1734275115.19818,5858,DATA
1734275115.198214,66,TCP
1734275115.199439,2962,DATA
1734275115.199991,5858,DATA
1734275115.200779,66,TCP
1734275115.20121,5858,DATA
1734275115.202,66,TCP
1734275115.203602,5858,DATA
1734275115.204188,66,TCP
1734275115.204609,5858,DATA
1734275115.205664,66,TCP
1734275115.205895,5858,DATA
1734275115.206527,66,TCP
1734275115.207069,5858,DATA
1734275115.208958,5858,DATA
1734275115.209241,66,TCP
1734275115.209421,66,TCP
1734275115.209786,66,TCP
1734275115.210152,5858,DATA
1734275115.21182,5858,DATA
1734275115.212207,66,TCP
1734275115.212334,66,TCP
1734275115.212995,5858,DATA
1734275115.213408,66,TCP
1734275115.215112,5858,DATA
1734275115.215174,66,TCP
1734275115.215663,66,TCP
1734275115.21617,1514,DATA
1734275115.216519,5858,DATA
1734275115.218268,5858,DATA
1734275115.218205,66,TCP
1734275115.21869,66,TCP
1734275115.219977,4410,DATA
1734275115.219984,66,TCP
1734275115.22042,66,TCP
1734275115.22435,4410,DATA
1734275115.224411,66,TCP
1734275115.224412,66,TCP
1734275115.224516,66,TCP
1734275115.224517,66,TCP
1734275115.22507,4410,DATA
1734275115.226006,4410,DATA
1734275115.231458,4410,DATA
1734275115.231515,66,TCP
1734275115.231516,66,TCP
1734275115.231517,66,TCP
1734275115.231517,66,TCP
1734275115.231518,66,TCP
1734275115.231728,66,TCP
1734275115.232223,4410,DATA
1734275115.233322,4410,DATA
1734275115.23484,4410,DATA
1734275115.236102,4410,DATA
1734275115.236047,66,TCP
1734275115.236048,66,TCP
1734275115.236824,4410,DATA
1734275115.237783,4410,DATA
1734275115.23871,4410,DATA
1734275115.239621,1514,DATA
1734275115.239642,66,TCP
1734275115.239928,4410,DATA
1734275115.239978,66,TCP
1734275115.239978,66,TCP
1734275115.240768,4410,DATA
1734275115.24077,66,TCP
1734275115.242924,4410,DATA
1734275115.243876,4410,DATA
1734275115.245248,4410,DATA
1734275115.246107,4410,DATA
1734275115.246978,4410,DATA
1734275115.246976,66,TCP
1734275115.247242,66,TCP
1734275115.247243,66,TCP
1734275115.247243,66,TCP
1734275115.24798,4410,DATA
1734275115.248409,66,TCP
1734275115.248584,4410,DATA
1734275115.249907,4410,DATA
1734275115.250918,4410,DATA
1734275115.251375,66,TCP
1734275115.251376,66,TCP
1734275115.251842,4410,DATA
1734275115.253208,4410,DATA
1734275115.253979,4410,DATA
1734275115.255764,4410,DATA
1734275115.256322,66,TCP
1734275115.256522,4410,DATA
1734275115.25644,66,TCP
1734275115.257439,4410,DATA
1734275115.258651,4410,DATA
1734275115.259371,4410,DATA
1734275115.260893,4410,DATA
1734275115.261994,4410,DATA
1734275115.262037,66,TCP
1734275115.26265,4410,DATA
1734275115.264487,4410,DATA
1734275115.264483,66,TCP
1734275115.265158,4410,DATA
1734275115.265377,66,TCP
1734275115.266142,4410,DATA
1734275115.266458,66,TCP
1734275115.267023,4410,DATA
1734275115.268072,4410,DATA
1734275115.268336,66,TCP
1734275115.268751,4410,DATA
1734275115.269132,66,TCP
1734275115.269892,4410,DATA
1734275115.27139,4410,DATA
1734275115.271668,66,TCP
1734275115.272062,4410,DATA
1734275115.273338,4410,DATA
1734275115.274343,4410,DATA
1734275115.27428,66,TCP
1734275115.274281,66,TCP
1734275115.274666,66,TCP
1734275115.275056,4410,DATA
1734275115.276347,4410,DATA
1734275115.277265,4410,DATA
1734275115.277325,66,TCP
1734275115.277409,66,TCP
1734275115.278092,4410,DATA
1734275115.27938,4410,DATA
1734275115.279709,66,TCP
1734275115.27971,66,TCP
1734275115.28004,4410,DATA
1734275115.280479,66,TCP
1734275115.281836,4410,DATA
1734275115.281961,66,TCP
1734275115.282648,4410,DATA
1734275115.282645,66,TCP
1734275115.283635,4410,DATA
1734275115.28391,66,TCP
1734275115.284334,4410,DATA
1734275115.285551,4410,DATA
1734275115.285445,66,TCP
1734275115.286767,4410,DATA
1734275115.289593,66,TCP
1734275115.289888,4410,DATA
1734275115.289594,66,TCP
1734275115.289594,66,TCP
1734275115.289595,66,TCP
1734275115.290219,66,TCP
1734275115.290643,4410,DATA
1734275115.292215,4410,DATA
1734275115.292281,66,TCP
1734275115.29262,66,TCP
1734275115.292869,4410,DATA
1734275115.293105,66,TCP
1734275115.29418,4410,DATA
1734275115.295027,4410,DATA
1734275115.295024,66,TCP
1734275115.295501,66,TCP
1734275115.295994,4410,DATA
1734275115.297137,4410,DATA
1734275115.297197,66,TCP
1734275115.297276,66,TCP
1734275115.297791,4410,DATA
1734275115.299351,4410,DATA
1734275115.300293,4410,DATA
1734275115.29936,66,TCP
1734275115.299361,66,TCP
1734275115.300672,66,TCP
1734275115.300921,4410,DATA
1734275115.302299,4410,DATA
1734275115.302361,66,TCP
1734275115.303207,4410,DATA
1734275115.304377,4410,DATA
1734275115.304727,66,TCP
1734275115.305234,4410,DATA
1734275115.305177,66,TCP
1734275115.305178,66,TCP
1734275115.306017,4410,DATA
1734275115.305993,66,TCP
1734275115.307004,4410,DATA
1734275115.307467,66,TCP
1734275115.307949,4410,DATA
1734275115.307946,66,TCP
1734275115.308394,66,TCP
1734275115.308671,4410,DATA
1734275115.309604,4410,DATA
1734275115.30985,66,TCP
1734275115.310135,66,TCP
1734275115.310558,4410,DATA
1734275115.311423,4410,DATA
1734275115.312311,4410,DATA
1734275115.312319,66,TCP
1734275115.313276,4410,DATA
1734275115.313213,66,TCP
1734275115.314131,4410,DATA
1734275115.315176,4410,DATA
1734275115.315449,66,TCP
1734275115.31545,66,TCP
1734275115.315751,66,TCP
1734275115.315951,4410,DATA
1734275115.317193,4410,DATA
1734275115.318027,4410,DATA
1734275115.318986,4410,DATA
1734275115.320141,4410,DATA
1734275115.320152,66,TCP
1734275115.320485,66,TCP
1734275115.320984,4410,DATA
1734275115.321249,66,TCP
1734275115.321739,4410,DATA
1734275115.322938,4410,DATA
1734275115.322944,66,TCP
1734275115.32328,66,TCP
1734275115.323595,4410,DATA
1734275115.324424,66,TCP
1734275115.324438,4410,DATA
1734275115.325831,4410,DATA
1734275115.32581,66,TCP
1734275115.326838,4410,DATA
1734275115.326784,66,TCP
1734275115.328608,4410,DATA
1734275115.328352,66,TCP
1734275115.328669,66,TCP
1734275115.329308,4410,DATA
1734275115.33033,4410,DATA
1734275115.330618,66,TCP
1734275115.331241,4410,DATA
1734275115.331246,66,TCP
1734275115.332185,4410,DATA
1734275115.33267,66,TCP
1734275115.332902,4410,DATA
1734275115.333413,66,TCP
1734275115.334076,4410,DATA
1734275115.334947,4410,DATA
1734275115.335513,66,TCP
1734275115.335514,66,TCP
1734275115.335725,4410,DATA
1734275115.336474,66,TCP
1734275115.336489,4410,DATA
1734275115.337543,4410,DATA
1734275115.338603,4410,DATA
1734275115.338494,66,TCP
1734275115.338495,66,TCP
1734275115.339181,66,TCP
1734275115.339391,4410,DATA
1734275115.339879,66,TCP
1734275115.340211,4410,DATA
1734275115.341438,4410,DATA
1734275115.341434,66,TCP
1734275115.342684,4410,DATA
1734275115.342709,66,TCP
1734275115.343448,4410,DATA
1734275115.346364,66,TCP
1734275115.346387,4410,DATA
1734275115.346365,66,TCP
1734275115.346365,66,TCP
1734275115.346366,66,TCP
1734275115.346367,66,TCP
1734275115.347034,4410,DATA
1734275115.3475,66,TCP
1734275115.347969,4410,DATA
1734275115.348486,66,TCP
1734275115.349353,4410,DATA
1734275115.349418,66,TCP
1734275115.350095,4410,DATA
1734275115.350756,66,TCP
1734275115.351001,4410,DATA
1734275115.351919,4410,DATA
1734275115.351915,66,TCP
1734275115.352041,66,TCP
1734275115.35288,4410,DATA
1734275115.35391,4410,DATA
1734275115.353976,66,TCP
1734275115.353976,66,TCP
1734275115.354685,4410,DATA
1734275115.354699,66,TCP
1734275115.355495,4410,DATA
1734275115.35652,4410,DATA
1734275115.35667,66,TCP
1734275115.357529,4410,DATA
1734275115.357824,66,TCP
1734275115.359208,4410,DATA
1734275115.360563,4410,DATA
1734275115.361242,4410,DATA
1734275115.361559,66,TCP
1734275115.36156,66,TCP
1734275115.36156,66,TCP
1734275115.361561,66,TCP
1734275115.362212,4410,DATA
1734275115.362433,66,TCP
1734275115.363553,4410,DATA
1734275115.363622,66,TCP
1734275115.364203,4410,DATA
1734275115.364653,66,TCP
1734275115.365389,4410,DATA
1734275115.365456,66,TCP
1734275115.366463,4410,DATA
1734275115.366527,66,TCP
1734275115.36719,4410,DATA
1734275115.367449,66,TCP
1734275115.368103,4410,DATA
1734275115.368084,66,TCP
1734275115.369414,4410,DATA
1734275115.369475,66,TCP
1734275115.369771,66,TCP
1734275115.370146,4410,DATA
1734275115.370468,66,TCP
1734275115.370978,4410,DATA
1734275115.371758,66,TCP
1734275115.371905,4410,DATA
1734275115.373384,4410,DATA
1734275115.373394,66,TCP
1734275115.374003,4410,DATA
1734275115.374953,4410,DATA
1734275115.375892,4410,DATA
1734275115.37665,66,TCP
1734275115.376651,66,TCP
1734275115.376859,4410,DATA
1734275115.377577,66,TCP
1734275115.377774,4410,DATA
1734275115.379054,4410,DATA
1734275115.37912,66,TCP
1734275115.379943,4410,DATA
1734275115.379948,66,TCP
1734275115.380647,4410,DATA
1734275115.38064,66,TCP
1734275115.381754,4410,DATA
1734275115.38182,66,TCP
1734275115.382654,4410,DATA
1734275115.382665,66,TCP
1734275115.383699,4410,DATA
1734275115.386385,4410,DATA
1734275115.38369,66,TCP
1734275115.386311,66,TCP
1734275115.386312,66,TCP
1734275115.386312,66,TCP
1734275115.386903,66,TCP
1734275115.387177,4410,DATA
1734275115.38813,4410,DATA
1734275115.38902,4410,DATA
1734275115.388911,66,TCP
1734275115.390123,4410,DATA
1734275115.390069,66,TCP
1734275115.3914,4410,DATA
1734275115.391398,66,TCP
1734275115.392009,66,TCP
1734275115.392023,4410,DATA
1734275115.392649,66,TCP
1734275115.393126,4410,DATA
1734275115.394457,4410,DATA
1734275115.394522,66,TCP
1734275115.394624,66,TCP
1734275115.395133,4410,DATA
1734275115.395966,66,TCP
1734275115.39599,4410,DATA
1734275115.397233,4410,DATA
1734275115.39724,66,TCP
1734275115.397853,66,TCP
1734275115.39787,4410,DATA
1734275115.399124,4410,DATA
1734275115.401581,4410,DATA
1734275115.401647,66,TCP
1734275115.401648,66,TCP
1734275115.401648,66,TCP
1734275115.401648,66,TCP
1734275115.402288,4410,DATA
1734275115.402297,66,TCP
1734275115.403566,4410,DATA
1734275115.408059,66,TCP
1734275115.408088,4410,DATA
